"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Botswana","BWA","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","14.2215700149536","15.3849096298218","15.2744998931885","15.3618698120117","16.5558395385742","15.8807497024536","","16.3669109344482","","16.1698703765869","","","","","","","","","","","","","25.8235301971436","","26.5077896118164","","20.4773998260498","23.5505284733403","24.1945001555283","21.6718195795171","20.9129197657803","22.6601252010259","23.0535528099878","22.0042910314722","22.8162628925243","22.5610664576916","22.3420010369273","21.4650874064137","","","","","",
"Central African Republic","CAF","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1400804519653","9.92337036132812","","","","","","","","8.94931983947754","9.93076992034912","","9.19987010955811","12.0125799179077","12.0471296310425","9.66650009155273","10.0542402267456","9.86948013305664","7.8600001335144","7.84172010421753","6.47537994384766","7.8254599571228","10.6165691254814","8.08344390393141","9.38718751677231","8.38674186180161","7.31902194047271","8.89504990083298","9.13549641953096","9.79781209629898","9.78244273272612","9.08869199724264","10.7420521886098","9.9939281561116","","",
"Canada","CAN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","15.5789003372192","15.5318098068237","14.7749700546265","14.0908002853394","13.2368803024292","12.6831998825073","13.4558296203613","13.5385398864746","13.569769859314","13.1906204223633","14.2637996673584","13.1161403656006","14.6234798431397","12.9344301223755","12.8636302947998","","","12.6395797729492","12.7418804168701","12.9826002120972","12.2122402191162","12.1478996276856","","","12.1780700683594","","12.3285598754883","12.0099601745606","12.4836397171021","12.3359603881836","12.2191400527954","","11.2129096984863","12.1208801269531","12.351619720459","12.0354995727539","12.1707401275635","12.0848703384399","11.7379398345947","12.0423498153687","9.0687198638916","10.6535596847534","","","",
"Central Europe and the Baltics","CEB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7286500930786","","11.2788095474243","10.104199886322","10.2823801040649","11.1316599845886","10.9223499298096","11.6752195358276","12.122260093689","12.0725202560425","12.3009099960327","11.3483295440674","11.410249710083","11.0830497741699","11.0278196334839","10.8593997955322","10.9432148933411","9.57987022399902","10.5688896179199","11.5371503829956","11.2715997695923","10.8128595352173","11.1106195449829","11.1711702346802","10.4621200561523","10.6039199829102","10.5161952972412","","","",
"Switzerland","CHE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","15.5938997268677","15.5219497680664","15.7320404052734","15.454719543457","16.1573104858398","15.8157901763916","17.181640625","17.1725902557373","","16.1592998504639","15.5115203857422","15.310040473938","15.2790899276733","","14.5520095825195","14.3331003189087","14.4521598815918","15.2553396224976","15.1812601089478","16.1994209289551","16.096399307251","15.703989982605","15.8538799285889","15.5604200363159","15.8850402832031","15.5221395492554","15.2876396179199","15.4470500946045","15.474570274353","15.0943098068237","15.3216896057129","15.3883600234985","15.3604698181152","15.4610500335693","15.5259704589844","15.676739692688","14.2745599746704","14.6093101501465","15.4151697158813","","","",
"Channel Islands","CHI","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5188302993774","14.1324195861816","15.0246200561523","15.7599897384644","14.5041399002075","15.1703701019287","15.6522197723389","16.4279098510742","","17.4505996704102","17.6372203826904","17.0210494995117","16.199089050293","16.2312793731689","16.7464103698731","17.4011306762695","17.0356101989746","17.8533096313477","17.7475700378418","","19.6776504516602","19.9210090637207","19.5937099456787","21.1555995941162","21.3112392425537","21.3660697937012","21.2336292266846","19.3545894622803","14.8808498382568","18.3798809051514","","","",
"China","CHN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","9.5632495880127","9.76224040985107","10.6873798370361","10.4390096664429","9.46158027648926","10.7439403533935","","","","12.2905302047729","14.7739496231079","20.0649394989014","18.717170715332","19.5053405761719","","14.5514097213745","12.6315603256226","","","","","","","","","","","","","","","","","","","","","","","","11.9055795669556","","",
"Cote d'Ivoire","CIV","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.2201499938965","18.8147506713867","21.6711807250977","20.8069496154785","23.2020301818848","22.5923004150391","22.648229598999","22.1071605682373","21.8456897735596","20.0178909301758","20.755880355835","21.5269107818604","22.1895599365234","22.7727508544922","22.4268608093262","20.8587608337402","21.5747299194336","21.7667808532715","21.1732196807861","22.3875999450684","20.6334991455078","18.2889003753662","19.8460693359375","18.5902500152588","16.2662792205811","15.9030103683472","15.9464597702026","17.6227703094482","",
"Cameroon","CMR","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6836996078491","15.7333097457886","","21.4420204162598","20.8471202850342","21.3776092529297","20.3126602172852","21.3793392181396","15.7006101608276","19.7797908782959","18.7538890838623","14.8677701950073","15.1762199401856","13.8249502182007","12.8797597885132","13.243989944458","12.6946897506714","15.9128103256226","16.8831596374512","14.1786984993157","14.4511222046888","15.0479038536836","12.7669754975237","13.0829510944935","13.830376525189","",
